songinfo,lyrics,year
THE MOONGLOWS - MOST OF ALL LYRICS,"Most Of All by The Moonglows  Most of all, I want your warm embrace  No one can take your place  I need you most of all   Most of all, I want your sweet caress  Truly I must confess  I need you most of all   When I sleep at night  I dream wonderful, wonderful, wonderful dreams of you  & when Im awake  No ones there & thats why Im so blue   Most of all, the one thing that I miss  The way we used to kiss  I need you most...of......all   When I sleep at night  I dream wonderful, wonderful, wonderful dreams of you  & when Im awake  No ones there & thats why Im so blue   Most of all, the one thing that I miss  The way we used to kiss  I need you most...of......all",1955
EDDIE COCHRAN - SUMMERTIME BLUES LYRICS,"Well, Im gonna raise a fuss Im gonna raise a holler About a working all summer Just to try to earn a dollar  Well, time I called my baby Try to get a date My boss says, No dice, son You gotta work late  Sometimes I wonder What Im a gonna do But there aint no cure For the summertime blues  Oh, well my Mom and Poppa told me â€½Son, you gotta make some money If you want to use the car To go ridin next Sundayâ€  Well, I didnt go to work Told the boss I was sick Well, you cant use the car Cause you didnt work a lick  Sometimes I wonder What Im a gonna do But there aint no cure For the summertime blues  Im gonna take two weeks Gonna have a fine vacation Im gonna take my problem To the United Nations  Well, I called my congressman And he said, â€½Whoa Id like to help you son But youre too young to voteâ€  Sometimes I wonder What Im a gonna do? But there aint no cure For the summertime blues",1958
HELEN HUMES - MILLION DOLLAR SECRET LYRICS,"Im gonna tell all you girls a secret, please keep it to yourself Im gonna tell all you girls a secret, please, please keep it to yourself Why its a million dollar secret, so please dont tell nobody else Now if youre a real young girl And you want to get rich quick Get an old, old man, girls And thatll be the lick You know those old men are fine, yes they know just what to do Theyll give you lots of loving, but theyll give you a whole lot of money too(and I love that part)Now hell tickle you under your chin And hell scratch you on your side Hell say Wake up you fine young thing Give me my mornings exerciseThose old men are fine, yes yes yes they know what to do Theyll give you lots of loving, but theyll give you a whole lot of money too Now Ive got a man whos seventy-eight And Im just thirty-three Everybody thinks Im crazy But his wills made out to me! Yes that man is fine, girls he really knows just what to do Why hell give you lots of loving, but hell give you a whole lot of money too(solos)Now Ive told all you young girls Exactly what to do Now let me tell you women If youre over forty-two Get you a young dude, and raise him to your hand Cause hell make you think life is wonderful, yes youll think the world is grand Now take a look in the barnyard See that old fat hen Shes got a fresh young rooster Feels just like a chick again So get a young man, and raise him to your hand Cause hell make you think life is wonderful, yes youll think the world is grand You know hell spend your hard-earned money Make your life a hell on ea",1950
FRANKIE AVALON - BOBBY SOX TO STOCKINGS LYRICS,"When a girl changes from bobby sox to stockings And she starts trading her baby toys for boys When that once-shy little sleepyhead Learns about love and its lilt You can bet that the change Is more than from cotton to silk  If a miss wants to be kissed instead of cuddled And to this you are in doubt as what to say When a girl changes from bobby sox to stockings Then shes old enough to give her heart away  When a girl changes from bobby sox to stockings And she starts trading her baby toys for boys When that once-shy little sleepyhead Learns about love and its lilt You can bet that the change Is more than from cotton to silk  If a miss wants to be kissed instead of cuddled And to this you are in doubt as what to say When a girl changes from bobby sox to stockings Then shes old enough to give her heart away  Yes, shes old enough to give her heart away",1959
THE DOMINOES - THESE FOOLISH THINGS LYRICS,"Oh! Will you never let me be? Oh! Will you never set me free? The ties that bound us Are still around us Theres no escape that I can see And still those little things remain That bring me happiness or pain  A cigarette that bears a lipsticks traces An airline ticket to romantic places And still my heart has wings These foolish things remind me of you A tinkling piano in the next apartment Those stumbling words that told you what my heart meant A fair grounds painted swings These foolish things remind me of you You came you saw you conquerd me When you did that to me I knew somehow this had to be The winds of March that make my heart a dancer A telephone that rings but whos to answer? Oh, how the ghost of you clings! These foolish things remind me of you  First daffodils and long excited cables And candle lights on little corner tables And still my heart has wings These foolish things remind me of you The park at evening when the bell has sounded The Ile de France with all the gulls around it The beauty that is Springs These foolish things remind me of you How strange how sweet to find you still These things are dear to me They seem to bring you near to me The sigh of midnight trains in empty stations Silk stockings thrown aside dance invitations Oh, how the ghost of you clings! These foolish things remind me of you  Gardenia perfume lingring on a pillow Wild strawbries only seven francs a kilo And still my heart has wings These foolish things remind me of you The smile of Garbo and the scent of roses The waiters whistling as the last bar closes The song that Crosby sings These foolish things remind me of you How strange how sweet to find you still  These things are dear to me They seem to bring you near to me The scent of smouldring leaves, the wail of steamers Two lovers on the street who walk like dreamers Oh, how the ghost of you clings! These foolish things remind me of you",1953
PERRY COMO - GLENDORA LYRICS,"Im in love with a dolly named Glendora She works in the window of a big department stor-a! Eyes of blue, hair like gold, Never been young, but shell never get old . . . Oh Glendora . . . I wanna see more of you!  O Glendora . . . O Glendora . . . O Glendora . . . I wanna see more of you!  Shes so shy that I dont know how I found her, With three big body guards always workin around her! One just nods, an two just grins, An three got a mouth full of safety pins . . . O Glendora . . . I wanna see more of you! (You . . . more of you!)  O Glendora . . . O Glendora . . . O Glendora . . . I wanna see more of you! (. . . more of you!)  I stand left an I stand right, Outta my head cause Im outta sight . . . O Glendora . . . I wanna see more of you!  Late last night at the store they did some changin . . . An I stood watchin when they started re-arrangin . . . She lost her wig, she lost her arms, An when they got through she lost all of her charms, O Glendora . . . what did they do to you?  What they do, what they do, what they do? O Glendora . . . O Glendora . . . O Glendora . . . what did they do to you?  What they do, what they do, what they do? O Glendora . . . O Glendora . . . O Glendora . . . what did they do to you?  Do to you, oh what did they do to you? O Glendora . . . what did they do to you?",1956
RUTH BROWN - 5-10-15 HOURS LYRICS,"Baby baby baby, Ive got to have you for my own, Baby baby baby, Ive got to have you for my own, If you ever need me baby, call me on the telephone. Just give me five, ten, fifteen hours of your love, Just give me five, ten, fifteen hours of your love, Give me fifteen hours while that shiny moons above. I wanna love ya love ya love ya, love ya love ya all the time, I wanna love ya love ya love ya, love ya love ya all the time, I wanna love ya love ya baby, if I live to ninety nine! Just give me five, ten, fifteen hours of your love, Just give me five, ten, fifteen hours of your love, Give me fifteen hours while that shiny moons above. I wanna hold ya hold ya hold ya, hold ya till the broad daylight, I wanna hold ya hold ya hold ya, hold ya till the broad daylight, I wanna thrill ya thrill ya thrill ya till the sun is shinin bright. So give me five, ten, fifteen hours there with you, So give me five, ten, fifteen hours there with you, Give me fifteen hours and Ill prove my love is true.",1952
JIM LOWE - THE GREEN DOOR LYRICS,"Midnight, one more night without sleepin Watchin till the mornin comes creepin Green door, whats that secret youre keepin?  Theres an old piano And they play it hot behind the green door Dont know what theyre doin But they laugh a lot behind the green door Wish theyd let me in So I could find out whats behind the green door  Knocked once, tried to tell them Id been there Door slammed, hospitalitys thin there Wonder just whats goin on in there  Saw an eyeball peepin Through a smoky cloud behind the green door When I said, Joe sent me Someone laughed out loud behind the green door All I want to do is join the happy crowd behind the green door  Midnight, one more night without sleepin Watchin till the mornin comes creepin Green door, whats that secret youre keepin?  Green door, whats that secret youre keepin? Green door",1956
LITTLE WALTER - YOU BETTER WATCH YOURSELF LYRICS,"You better watch yourself You better watch yourself You better watch yourself Cause Ive got my eyes on you  You can steal my love, and go away Dont tell me youll see me another day  You got to watch yourself You got to watch yourself You got to watch yourself Cause Ive got my eyes on you  Youve gone and left me, you left me here to cry You know I love you, you know you might sigh  You got to watch yourself Watch yourself You got to watch yourself Cause Ive got my eyes on you  I gave you all my money, everything too A fine Cadillac, tell me, whatcha gonna do  Watch yourself You got to watch yourself You got to watch yourself Cause Ive got my eyes on you  Well the people are all talkin, all over town Say you dont love me, youre gonna let me down  You better watch yourself You better watch yourself You better watch yourself Cause Ive got my eyes on you  Tell me whats the matter, whatcha gonna do? Well youre gonna quit me, then you say youre through  You better watch yourself You better watch yourself You better watch yourself Cause Ive got my eyes on you  You better watch yourself You better watch yourself You better watch yourself You better watch yourself Cause Ive got my eyes on you",1954
FATS DOMINO - YOUNG SCHOOL GIRL LYRICS,"Hey, little school girl Wake up sleepy head Come on little darling Get up out of that bed  The school bell is ringing Vacation time is gone No more watching the late show From now on  No more calling, calling Judy On the telephone No more going out swimming Vacation time is gone  Hey, little school girl Your time is awful short The tardy bell will catch you Hurry or youll be caught  The school bell is ringing Vacation time is gone No more watching the late show From now on",1954
BILLY WARD AND HIS DOMINOES - STAR DUST LYRICS,"And now the purple dusk of twilight time Steals across the meadows of my heart High up in the sky the little stars climb Always reminding me that were apart You wander down the lane and far away Leaving me a song that will not die Love is now the stardust of yesterday The music of the years gone by.  Sometimes I wonder, how I spend The lonely nights Dreaming of a song The melody Haunts my reverie And I am once again with you When our love was new And each kiss an inspiration But that was long ago And now my consolation is in the stardust of a song  Besides the garden wall, when stars are bright You are in my arms The nightingale Tells his fairytale Of paradise, where roses grew Though I dream in vain In my heart it will remain My stardust melody The memory of loves refrain.",1957
BILLY ECKSTINE - I APOLOGIZE LYRICS,"And now the purple dusk of twilight time Steals across the meadows of my heart High up in the sky the little stars climb Always reminding me that were apart  You wander down the lane and far away Leaving me a song that will not die Love is now the stardust of yesterday The music of the years gone by  Sometimes I wonder why I spend The lonely night dreaming of a song The melody haunts my reverie And I am once again with you  When our love was new And each kiss an inspiration But that was long ago, now my consolation Is in the stardust of a song  Beside a garden wall When stars are bright, you are in my arms The nightingale tells his fairy tale A paradise where roses bloom  Though I dream in vain In my heart it will remain My stardust melody The memory of loves refrain",1951
HARRY BELAFONTE - CHAIN GANG LYRICS,Ive never wanted wealth untold My life has one design A simple little band of gold To prove that you are mine  Dont want the world to have and hold For fame is not my line Just want a little band of gold To prove that you are mine Some sail away to Araby and other lands of mystery But all the wonders that they see will never tempt me  Their memories will soon grow cold But till the end of time Therell be a little band of gold To prove that you are mine  Ive never wanted wealth untold But till the end of time Therell be a little band of gold To prove that you are mine,1956
MIDNIGHTERS - ANNIE HAD A BABY LYRICS,"CHORUS:  Annie had a baby, cant work no more.  No, no, no, no, no, no, no.   Annie had a baby, cant work no more.  Every time she start to working..she has  to stop to walk the baby cross the floor.   She had to walk with the baby..instead of me.  Talk to the baby..instead of me.  Sing to the baby..instead of me.  Cling to the baby..instead of me.  Now I know, I know Annie understood..  thats whats happens when the gettin gets good.   CHORUS:   Annie had a baby, cant work no more.  No, no, no, no, no, no, no.  Annie had a baby, cant work no more. Every time she start to working..she has  to stop to walk the baby cross the floor.   (INTERLUDE:SAX:)  She had to walk with the baby..instead of me.  Talk to the baby..instead of me.  Sing to the baby..instead of me.  Cling to the baby..instead of me.  Now I know, I know Annie understood..  thats whats happens when the gettin gets good.   CHORUS:   Annie had a baby, cant work no more.  No, no, no, no, no, no, no. Annie had a baby, cant work no more. Every time she start to working..she has  to stop to walk the baby cross the floor. (Fade.) fifties smash from Kraziekhat.",1954
THE MORMON TABERNACLE CHOIR - BATTLE HYMN OF THE REPUBLIC LYRICS,"The Mormon Tabernacle Choir Miscellaneous Battle Hymn Of The Republic BATTLE HYMN OF THE REPUBLIC (JULIA WARD HOWE)  Mine eyes have seen the glory of the coming of the Lord He is trampling out the vintage where the grapes of wrath are stored, He has loosed the fateful lightening of His terrible swift sword His truth is marching on.  cho: Glory! Glory! Hallelujah! Glory! Glory! Hallelujah! Glory! Glory! Hallelujah! His truth is marching on.  I have seen Him in the watch-fires of a hundred circling camps They have builded Him an altar in the evening dews and damps l can read His righteous sentence by the dim and flaring lamps His day is marching on.  cho: I have read a fiery gospel writ in burnish`d rows of steel, As ye deal with my contemners, So with you my grace shall deal; Let the Hero, born of woman, crush the serpent with his heel Since God is marching on.  cho:  He has sounded form the trumpet that shall never call retreat He is sifting out the hearts of men before His judgment-seat Oh, be swift, my soul, to answer Him! be jubilant, my feet! Our God is marching on.  cho:  He has sounded form the trumpet that shall never call retreat He is sifting out the hearts of men before His judgment-seat Oh, be swift, my soul, to answer Him! be jubilant, my feet! Our God is marching on. cho:  ln the beauty of the lilies Christ was born across the sea, With a glory in His bosom that transfigures you and me: As He died to make men holy, let us die to make men free, While God is marching on.  cho:",1959
LAVERN BAKER - TWEEDLEE DEE LYRICS,"Lavern Baker Miscellaneous Tweedlee Dee Tweedlee Dee LaVern Baker and The Gliders (Scott)  Tweedlee tweedlee tweedlee dee Im as happy as can be Jimminy cricket jimminy jack You make my heart go clickety-clack Tweedlee tweedlee tweedlee dee  Tweedlee tweedlee tweedlee dot How you gonna keep that honey you got Hunkies hunkies fishes bite Im gonna see my honey tonight Tweedlee tweedlee tweedlee dot  Tweedlee dee tweedlee dee Give it up give it up Give your love to me Tweedlee dot tweedlee dot Gimme gimme gimme gimme Gimme all the love you got Hump-be-ump-bump-bump  Tweedlee tweedlee tweedle doe Im a lucky so-and-so Hubba hubba honey dew Im gonna keep my eyes on you Tweedlee tweedlee tweedlee doe  Tweedlee doe tweedlee doe Give that kiss to me before you go Tweedlee dum tweedlee dum Lookie lookie lookie lookie Look at that sugar plum Hump-be-ump-bump-bump  Tweedlee tweedlee tweedlee dum Youre as sweet as bubble gum Mercy mercy pudding pie Youve got something that money cant buy Tweedlee tweedlee tweedlee dum Owww, tweedlee tweedlee dum Owww, tweedlee tweedlee dum FADE: Owww, tweedlee tweedlee dum Owww, tweedlee tweedlee dum Owww  Transcribed by Little John. These lyrics were transcribed from the specific recording referenced above, and are for personal use and research interest only.",1954
ELVIS PRESLEY - (NOW AND THEN THERE'S) A FOOL SUCH AS I LYRICS,"(Now and then theres a fool such as I) Pardon me, if Im sentimental When we say goodbye Dont be angry with me should I cry When youre gone, yet Ill dream A little dream as years go by Now and then theres a fool such as I  Now and then theres a fool such as I am over you You taught me how to love And now you say that we are through Im a fool, but Ill love you dear Until the day I die Now and then theres a fool such as I  Now and then theres a fool such as I am over you You taught me how to love And now you say that we are through Im a fool, but Ill love you dear Until the day I die Now and then theres a fool such as I Now and then theres a fool such as I Now and then theres a fool such as I",1959
ELVIS PRESLEY - LOVE ME TENDER LYRICS,"Love me tender, love me sweet Never let me go You have made my life complete And I love you so  Love me tender, love me true All my dreams fulfill For my darling, I love you And I always will  Love me tender, love me long Take me to your heart For its there that I belong And well never part  Love me tender, love me true All my dreams fulfill For my darling, I love you And I always will  Love me tender, love me dear Tell me you are mine Ill be yours through all the years Till the end of time  Love me tender, love me true All my dreams fulfill For my darling, I love you And I always will",1956
THE TARRIERS - THE BANANA BOAT SONG LYRICS,"Hilly and gully rider  Hill and gully  Hilly and gully rider  Hill and gully   Hilly and gully rider  Hill and gully  Hilly and gully rider  Hill and gully   (chorus)  Day-o, day-o  Day de light  And i wanna go home  Day-o, day-o  Day de light  And i wanna go home   Well, i load the  Banana boat all night long  Day de light and  I wanna go home   Hey, all of the work men  Sing this song  Day de light and  I wanna go home   (chorus)   Well, i sleep by sun  And i work by moon  Day de light and  I wanna go home   I going to tell you  When i get some money  Gonna quit so soon  Day de light and  I wanna go home   (chorus) 2x   Well, i pack up all my things  And ill go to sea  Day de light and  I wanna go home   Oh, den de bananas  See the last of me  Day de light and  I wanna go home   Sing me   (chorus)   Hilly and gully rider  Hill and gully  Hilly and gully rider  Hill and gully  Hilly and gully rider  Hill and gully",1957
THE COASTERS - SEARCHIN' LYRICS,"gonna find her gonna find her gonna find her gonna find her yeeaaaaaah i been searchin a a searchin oh yeah searchin every inch away yeah yeaah oyeaah searchin a a searchin searchin every inch away yeaah ayeaah but im not  Well now if I have to swim a river, you know I will, And if I have to climb a mountain you know I will. And if shes hiding up on a blueberry hill, Im gonna find her, child, you know I will. Cause Ive been searching, oh yeah, searching, My goodness, searching every which a-way. Yeah.",1957
FATS DOMINO - FAT MAN LYRICS,"{The first thing I recorded, Im gonna play right now It was called a fat man and I recorded it in 1949}  They call, they call me the fat man Cause I weigh two hundred pounds All the girls they love me Cause I know my way around  I was standin, I was standin on the corner Of Rampart and Canal I was watchin, watchin Watchin those people gather  Im goin, Im goin goin away And Im goin, goin to stay Cause we be in this fast life [Incomprehensible] this goin away",1950
WILLIE MABON - I DON'T KNOW LYRICS,"[spoken] This song was introduced to me  by the late Cripple Clarence Lofton,  titled I Dont Know   Im gettin sick and tired of the way you do,  Good kind papa got to poison you;  Sprinkle goofer dust all around your bed,  Wake up one of these mornings, find your own self dead.  She said, You shouldnt say that  I said, What should I say this time, baby?  She says, Mmmmmm, I dont know, my oh my oh my  I dont know, what my baby puttin down.   The woman I love, shes got dimples in her jaws,  The clothes shes wearin is made out of the best of cloths;  She can take and wash them, she can hang em upside the wall,  She can throw em out the window,           and run out and catch em a little bit before they falls;  Sometimes I think you got your habits on  She said, You shouldnt say that  I said, What should I say to make you mad this time, baby?  She says, Mmmmmm, I dont know, my oh my oh my  I dont know, what my baby puttin down.   My papa told me, my mother sat down and cried,  Say, Youre too young a man, son, to have the many women you got  I looked at my mother then, I didnt even crack a smile,  I say, If the women kills me, I dont mind dyin   The woman I love, I won the week before last,  The woman I love Ive got out of class;  I thought I won you, baby, a long time ago,  If you dont watch your step, Im gonna have to let you go.  She said, You shouldnt say that  I say, What did I say to make you mad this time, baby?  She says, Mmmmmm, I dont know, I dont know  I dont know what my baby puttin down, puttin down.",1952
EARTHA KITT - SANTA BABY LYRICS,"Eartha Kitt Miscellaneous Santa Baby Santa baby, slip a sable under the tree,  For me.  been an awful good girl,  Santa baby, so hurry down the chimney tonight.   Santa baby, a 54 convertible too,  Light blue.  Ill wait up for you dear,  Santa baby, so hurry down the chimney tonight.   Think of all the fun Ive missed,  Think of all the fellas that I havent kissed,  Next year I could be just as good,  If youll check off my Christmas list,   Santa baby, I wanna yacht,  And really thats not a lot,  Been an angel all year,  Santa baby, so hurry down the chimney tonight.   Santa honey, theres one thing I really do need,  The deed  To a platinum mine,  Santa honey, so hurry down the chimney tonight.   Santa cutie, and fill my stocking with a duplex,  And checks.  Sign your X on the line,  Santa cutie, and hurry down the chimney tonight.   Come and trim my Christmas tree,  With some decorations bought at Tiffanys,  I really do believe in you,  Lets see if you believe in me,   Santa baby, forgot to mention one little thing,  A ring.  I dont mean on the phone,  Santa baby, so hurry down the chimney tonight,  Hurry down the chimney tonight,  Hurry, tonight.",1953
GENE & EUNICE - THIS IS MY STORY LYRICS,"This is my story, i have no song Just alone and broken hearted Just because i fell in love In love with you  I pray that youll come back to me Just to hear you say you love me And well never, ever part Part from you  Dooba, da do, da do, da do Dooba, dooba, dooba, Dooba, da do, da do, da do Dooba, dooba, dooba Dooba, da do, da do, da do Dooba, dooba, dooba do Da do, da do, da do  You pray that ill come back to you Yes, darling, i love you And well never, ever part No well never, ever part No well never, ever part No well never, ever part",1955
CHARLES BROWN - BLACK NIGHT LYRICS,"Nobody cares about me I aint even got a friend Babys gone and left me When will my troubles end? Black night is falling Oh how I hate to be alone I keep crying for my baby But now another day is gone Ive got no one to talk with To tell my troubles to Dont even know Im living Since I lost you Black night is falling Oh how I hate to be alone I keep crying for my baby But now another day is gone [musical interlude] My mother has the trouble My father has it too Brothers in Korea And I dont know just what to do Black night, black night is falling Oh how I hate to be alone I keep crying for my baby But now another day is gone",1951
ARTHUR GUNTER - BABY LET'S PLAY HOUSE LYRICS,"You may go to college May go to school You may get religion, baby, dont you be nobodys fool  Now baby, come, baby, come Come back, baby, come Come back, baby, I want to play house with you  Well, listen, let me tell you baby What Im talking about Come on back to me, little girl, so we can play some house  Now baby, come, baby, come Come back, baby, come Come back, baby, I want to play house with you  Now this is one thing, baby What I want you to know Come on back and lets play a little house and we can do what we did before  Now baby, come, baby, come Come back, baby, come Come back, baby, I want to play house with you  Now listen, let me tell you baby Dont you understand Rather see you dead, little girl, than to be with another man  Now baby, come, baby, come Come back, baby, come Come back, baby, I want to play house with you",1954
NAT KING COLE - MONA LISA LYRICS,"Mona Lisa, Mona Lisa, men have named you Youre so like the lady with the mystic smile Is it only cause youre lonely, they have blamed you For that Mona Lisa strangeness in your smile?  Do you smile to tempt a lover, Mona Lisa? Or is this your way to hide a broken heart? Many dreams have been brought to your doorstep They just lie there and they die there  Are you warm, are you real, Mona Lisa? Or just a cold and lonely, lovely work of art?  Do you smile to tempt a lover, Mona Lisa? Or is this your way to hide a broken heart? Many dreams have been brought to your doorstep They just lie there and they die there  Are you warm, are you real, Mona Lisa? Or just a cold and lonely, lovely work of art? Mona Lisa, Mona Lisa",1950
THE DRIFTERS - WHITE CHRISTMAS LYRICS,"Ooh, doop doop, doop doo doop Ooh, doop doop, doop doo doop  Im dreaming of a white Christmas Just like the ones I used to know Where those treetops glisten and children listen To hear sleigh bells in the snow, the snow  Then I, I, I am dreaming of a white Christmas With every Christmas card I write May your days, may your days, may your days be merry and bright And may all your Christmases be white  I, I, I am dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow  I, I, I am dreaming of a white Christmas With every Christmas card I write May your days, may your days, may your days be merry and bright And may all your Christmases be white  Jingle bells, jingle bells Jingle bells all the way, ooh",1954
